Rank,Geographical Area,Dollar,abbr
1,District of Columbia,82372,DC
2,Maryland,80776,MD
3,New Jersey,80088,NJ
4,Hawaii,77765,HI
5,Massachusetts,77385,MA
6,Connecticut,74168,CT
7,New Hampshire,73381,NH
8,Alaska,73181,AK
9,California,71805,CA
10,Virginia,71535,VA
11,Washington,70979,WA
12,Colorado,69117,CO
13,Minnesota,68388,MN
14,Utah,68358,UT
15,New York,64894,NY
16,Rhode Island,63870,RI
17,Illinois,62992,IL
18,Delaware,62852,DE
19,North Dakota,61843,ND
20,Wyoming,60434,WY
21,Oregon,60212,OR
22,Nebraska,59970,NE
23,Wisconsin,59305,WI
24,Texas,59206,TX
25,Pennsylvania,59195,PA
26,Iowa,58570,IA
27,Nevada,58003,NV
28,Vermont,57513,VT
29,Arizona,56581,AZ
30,South Dakota,56521,SD
31,Kansas,56422,KS
32,Maine,56277,ME
33,Georgia,56183,GA
34,Michigan,54909,MI
35,Indiana,54181,IN
36,Ohio,54021,OH
37,Missouri,53578,MO
38,Montana,53386,MT
39,North Carolina,52752,NC
40,Florida,52594,FL
41,Idaho,52225,ID
42,Tennessee,51340,TN
43,South Carolina,50570,SC
44,Oklahoma,50051,OK
45,Kentucky,48375,KY
46,Alabama,48123,AL
47,New Mexico,46744,NM
48,Louisiana,46145,LA
49,Arkansas,45869,AR
50,Mississippi,43529,MS
51,West Virginia,43469,WV
